UID         PID   PPID  C STIME TTY          TIME CMD
chunppo    1996   1909  0 09:41 ?        00:00:01 /usr/lib/ibus/ibus-ui-gtk3
chunppo    2001   1768  0 09:41 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
chunppo    2009   1768  0 09:41 ?        00:01:47 /usr/bin/pulseaudio --start --log-target=syslog
chunppo    2016   1768  0 09:41 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard-service --use-gtk
chunppo    2018   1909  0 09:41 ?        00:00:01 /usr/lib/ibus/ibus-engine-simple
chunppo    2020   1768  0 09:41 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
chunppo    2022   1768  0 09:41 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
chunppo    2024   1768  0 09:41 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
chunppo    2027   1768  0 09:41 ?        00:00:01 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
chunppo    2033   1768  0 09:41 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
chunppo    2035   1768  0 09:41 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
chunppo    2044   1768  0 09:41 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
chunppo    2045   1768  0 09:41 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
chunppo    2097   1768  0 09:42 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
chunppo    2192   1768  0 09:42 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
chunppo    2197   1940  0 09:42 ?        00:05:08 compiz
chunppo    2209   1768  0 09:42 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
chunppo    2216   1768  0 09:42 ?        00:00:52 /usr/bin/vmtoolsd -n vmusr
chunppo    2218   1940  0 09:42 ?        00:00:00 nm-applet
chunppo    2220   1940  0 09:42 ?        00:00:10 nautilus -n
chunppo    2227   1940  0 09:42 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
chunppo    2232   1768  0 09:42 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
chunppo    2234   1940  0 09:42 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
chunppo    2243   1768  0 09:42 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root       2250      1  0 09:42 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
chunppo    2291   1768  0 09:42 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
chunppo    2295   1768  0 09:42 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
chunppo    2299   1768  0 09:42 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
chunppo    2305   1768  0 09:43 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.8 /org/gtk/gvfs/exec_spaw/0
chunppo    2312   1768  0 09:43 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.8 /org/gtk/gvfs/exec_spaw/1
chunppo    2324   1940  0 09:43 ?        00:00:00 telepathy-indicator
chunppo    2332   1768  0 09:43 ?        00:00:00 /usr/lib/telepathy/mission-control-5
chunppo    2345   1940  0 09:43 ?        00:00:01 zeitgeist-datahub
chunppo    2350   1768  0 09:43 ?        00:00:00 /usr/bin/zeitgeist-daemon
chunppo    2356   1768  0 09:43 ?        00:00:01 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
chunppo    2365   2356  0 09:43 ?        00:00:00 /bin/cat
chunppo    2437   1940  0 09:43 ?        00:00:01 update-notifier
chunppo    2466   1768  0 09:44 ?        00:00:07 /usr/bin/python3 /usr/bin/update-manager --no-update --no-focus-on-map
chunppo    2509   1940  0 09:44 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
root       3111      1  0 10:08 ?        00:00:00 /usr/sbin/cupsd -f
lp         3115   3111  0 10:08 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus:// 
chunppo    4826      1  0 16:29 ?        00:00:00 /bin/bash -c  clear; ./sh11
chunppo    4828   4826  0 16:29 ?        00:00:05 /bin/bash ./sh11
chunppo    5362   1768  0 11:43 ?        00:00:00 /usr/lib/libunity-webapps/unity-webapps-service
root       5856      2  0 16:30 ?        00:00:08 [kworker/0:0]
root       5919    998  0 16:30 ?        00:00:00 sshd: chunppo [priv]
chunppo    6159   5919  0 16:30 ?        00:00:07 sshd: chunppo@pts/25
chunppo    6160   6159  0 16:30 pts/25   00:00:00 -bash
chunppo    6238   1768  0 12:37 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
chunppo    6252   1768  0 12:37 ?        00:00:01 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
chunppo    6254   1768  0 12:37 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
chunppo    6273   1768  0 12:37 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-music/unity-music-daemon
chunppo    7167   1768  0 12:47 ?        00:00:54 gnome-terminal
chunppo    7175   7167  0 12:47 ?        00:00:00 gnome-pty-helper
chunppo    7176   7167  0 12:47 pts/13   00:00:00 bash
chunppo   19299   1768  0 16:49 ?        00:00:00 /usr/lib/unity/unity-panel-service --lockscreen-mode
root      26388      2  0 15:23 ?        00:00:02 [kworker/0:1]
chunppo   37749   1768  0 13:12 ?        00:00:01 /usr/lib/x86_64-linux-gnu/notify-osd
root      43921      2  0 19:04 ?        00:00:00 [kworker/u256:2]
root      44618      2  0 19:15 ?        00:00:00 [kworker/u256:0]
chunppo   45199   6160  0 19:25 pts/25   00:00:00 vi awk_test
chunppo   45447  45199  0 19:29 pts/25   00:00:00 /bin/bash -c  clear; ./awk_test
chunppo   45449  45447  0 19:29 pts/25   00:00:00 /bin/bash ./awk_test
chunppo   45450  45449  0 19:29 pts/25   00:00:00 ps -ef
root     111098      2  0 16:11 ?        00:00:00 [kworker/u257:0]
root     111099      2  0 16:11 ?        00:00:00 [hci0]
root     111100      2  0 16:11 ?        00:00:00 [hci0]
root     111102      2  0 16:11 ?        00:00:00 [kworker/u257:2]
root     111116    876  0 16:11 ?        00:00:00 /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-eth0.pid -lf /var/lib/NetworkManager/dhclient-f56e9a76-4efd-4ec9-b330-cf36839c96f3-eth0.lease -cf /var/lib/NetworkManager/dhclient-eth0.conf eth0
root     111306    998  0 16:13 ?        00:00:00 sshd: chunppo [priv]
chunppo  111347 111306  0 16:13 ?        00:00:02 sshd: chunppo@pts/24
chunppo  111348 111347  0 16:13 pts/24   00:00:00 -bash
